DATE;TIME PERIOD;OBS.VALUE;OBS.STATUS;OBS.COMMENT;SERIES KEY;TITLE;FREQUENCY;FREQUENCY (DESC.);REFERENCE AREA;REFERENCE AREA (DESC.);CURRENCY;CURRENCY (DESC.);FINANCIAL MARKET PROVIDER;FINANCIAL MARKET PROVIDER (DESC.);FINANCIAL MARKET INSTRUMENT;FINANCIAL MARKET INSTRUMENT (DESC.);FINANCIAL MARKET PROVIDER IDENTIFIER;FINANCIAL MARKET PROVIDER IDENTIFIER (DESC.);FINANCIAL MARKET DATA TYPE;FINANCIAL MARKET DATA TYPE (DESC.)
1980-01-18;18 Jan 1980;0,1228;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-19;19 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-20;20 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-21;21 Jan 1980;0,1217;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-22;22 Jan 1980;0,1114;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-23;23 Jan 1980;0,1032;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-24;24 Jan 1980;0,1034;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-25;25 Jan 1980;0,1026;A;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-26;26 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
1980-01-27;27 Jan 1980;;;;CISS.D.U2.Z0Z.4F.EC.SS_CIN.IDX;NEW CISS - Composite Indicator of Systemic Stress.;D;Daily;U2;Euro area (changing composition) (U2);Z0Z;Not applicable (Z0Z);4F;ECB (4F);EC;Economic indicator (EC);SS_CIN;New Composite Indicator of Systemic Stress (CISS) (SS_CIN);IDX;Index (IDX)
